date,gender,age,대출총괄_mo,대출총괄_pc,주택관련대출_mo,주택관련대출_pc,자동차대출_mo,자동차대출_pc,대환대출_mo,대환대출_pc,핀다대출외서비스_mo,핀다대출외서비스_pc
2022-02-11,m,2,7.21649,30.0,7.21649,15.0,10.30927,15.0,0.51546,0.0,7.21649,20.0
2022-02-11,f,3,23.72393,17.62114,10.42415,10.13215,6.75772,6.1674,0.93457,0.44052,5.67936,5.28634
2022-02-11,m,3,28.38827,34.65346,10.34798,24.75247,8.97435,10.89108,2.5641,1.98019,10.25641,22.77227
2022-02-11,f,4,42.97729,21.9917,53.23801,55.60165,9.25147,7.88381,5.55088,4.56431,14.46593,17.84232
2022-02-11,m,4,44.34097,30.54755,37.46418,57.63688,10.88825,8.64553,7.30659,2.59365,14.68481,24.49567
2022-02-11,f,5,24.32885,16.17647,53.91498,52.94117,4.9217,3.43137,3.3557,3.43137,9.61968,15.19607
2022-02-11,m,5,18.92959,15.89473,37.75143,46.21052,4.66954,3.05263,3.34051,1.78947,11.60201,15.36842
2022-02-11,f,6,18.07359,9.54063,56.9264,46.28975,4.329,1.06007,2.92207,1.76678,7.95454,12.72084
2022-02-11,m,6,17.233,10.48951,38.73092,43.47319,4.36893,2.91375,3.43273,1.1655,8.98058,13.86946
2022-02-11,f,7,20.87004,12.2807,50.33039,44.29824,4.12995,4.38596,2.64317,2.63157,7.37885,10.52631
2022-02-11,m,7,17.70259,15.25423,33.35955,39.49152,5.27143,2.88135,2.98977,1.8644,8.53658,13.22033
2022-02-11,f,8,21.8834,15.32258,41.97309,61.29032,5.65022,10.48387,2.51121,1.6129,10.67264,12.09677
2022-02-11,m,8,18.93819,12.9139,37.24247,36.75496,5.94294,4.30463,3.16957,2.649,10.77654,18.87417
2022-02-11,f,9,18.16976,16.25,43.50132,53.75,6.10079,8.75,3.05039,3.75,8.62068,13.75
2022-02-11,m,9,24.96194,12.06896,38.96499,56.32183,5.47945,5.74712,3.50076,1.72413,18.87366,21.83908
2022-02-11,f,10,27.5862,10.81081,49.65517,40.54054,8.62068,5.4054,0.68965,5.4054,12.75862,5.4054
2022-02-11,m,10,20.81911,18.18181,36.86006,42.85714,8.87372,14.28571,5.80204,0.0,26.96245,31.16883
2022-02-11,f,11,22.18934,20.51282,23.66863,41.02564,5.02958,7.6923,0.88757,0.0,12.13017,17.94871
2022-02-11,m,11,17.28813,15.49295,27.45762,53.52112,8.13559,7.04225,1.35593,0.0,32.20338,15.49295
2022-02-12,f,2,2.19298,0.0,1.75438,0.0,2.92397,2.27272,0.0,2.27272,0.14619,0.0
